IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.5706,0.9798,0.3114,0.3171,0.9592,0.9988,0.815,0.8183,0.9848,0.4726,0.5188,3.0
0.6839,0.9808,0.2332,0.2378,0.9656,0.9938,0.7383,0.7376,0.9859,0.3824,0.4171,3.0
1.0,0.9997,0.0083,0.0086,1.0,0.9878,0.4766,0.4733,1.0,0.2422,0.2738,3.0
0.66,0.9805,0.3097,0.3156,0.96,0.9918,0.7464,0.7442,0.9833,0.3905,0.4392,3.0
0.7382,0.9807,0.2151,0.2193,0.9668,0.9929,0.7446,0.7433,0.9845,0.3521,0.3932,3.0
0.5447,0.9812,0.2982,0.3041,0.9615,0.9983,0.881,0.8841,0.9792,0.4901,0.532,3.0
0.9776,0.9989,0.017,0.0177,0.9986,0.9877,0.5421,0.5382,0.9948,0.248,0.2809,3.0
0.8058,0.9809,0.1842,0.1878,0.969,0.9904,0.6055,0.6028,0.9927,0.31,0.3465,3.0
0.287,0.9622,1.0,1.0,0.8953,0.9948,1.0,1.0,0.9665,1.0,1.0,3.0
0.544,0.9789,0.3944,0.4012,0.9526,0.9951,0.8648,0.8651,0.9773,0.4906,0.5414,3.0
0.9339,0.9997,0.0127,0.0132,0.9997,0.9907,0.5943,0.5919,0.9939,0.2695,0.3041,3.0
0.7877,0.9992,0.0305,0.0317,0.998,0.9965,0.7738,0.7751,0.9857,0.3326,0.3727,3.0
0.8405,0.9814,0.1728,0.1762,0.9704,0.9886,0.6274,0.6235,0.9892,0.295,0.3356,3.0
0.4118,0.978,0.5311,0.5398,0.9423,1.0,0.9693,0.9744,0.974,0.6588,0.72,3.0
0.7997,1.0,0.0203,0.0211,0.9995,0.9965,0.7304,0.7317,0.9891,0.3276,0.3688,3.0
0.9091,0.9992,0.0219,0.0227,0.9985,0.9912,0.6684,0.666,0.9886,0.2791,0.3139,3.0
0.3765,0.9694,0.7473,0.7529,0.9193,0.9923,0.9628,0.9604,0.967,0.7678,0.7809,3.0
0.2097,0.959,1.4062,1.4015,0.8649,0.9999,1.1141,1.1199,0.9626,1.3672,1.3656,3.0
0.9447,0.9992,0.032,0.032,0.9989,0.999,0.9949,0.9947,0.9978,0.8979,0.9136,4.0
0.9925,0.9999,0.0203,0.0203,0.9998,0.9377,0.9637,0.9044,0.9424,0.7837,0.7966,4.0
0.9952,0.9996,0.0096,0.0096,0.9997,0.9389,0.7871,0.7396,0.9771,0.7699,0.7824,4.0
