benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
a2time01,32,2,16,1.786468,3377094.0,0.000326,1101.0,3375993.0,1834593.0,0.000929,1704.0,1832889.0,886396815.0,874729380.0
a2time01,64,4,32,1.796898,3376897.0,0.000197,665.0,3376232.0,1771451.0,0.000536,949.0,1770502.0,865296240.0,859224030.0
a2time01,64,1,16,1.785025,3377912.0,0.000272,919.0,3376993.0,1771518.0,0.00171,3029.0,1768489.0,881130345.0,876227865.0
a2time01,32,1,32,1.785778,3376960.0,0.000363,1225.0,3375735.0,1834625.0,0.000924,1695.0,1832930.0,888581790.0,875155320.0
a2time01,16,2,16,1.772569,3376487.0,0.000527,1779.0,3374708.0,1834578.0,0.001039,1906.0,1832672.0,911125980.0,891232755.0
a2time01,64,2,32,1.796554,3376873.0,0.0002,674.0,3376199.0,1771451.0,0.000542,960.0,1770491.0,865876155.0,859591695.0
a2time01,64,2,16,1.795659,3376742.0,0.000216,731.0,3376011.0,1771434.0,0.000543,962.0,1770472.0,867001245.0,863360130.0
a2time01,32,1,8,1.613176,3385542.0,0.000444,1504.0,3384038.0,1834861.0,0.008703,15969.0,1818892.0,2095145115.0,2086540500.0
a2time01,32,1,16,1.741954,3377956.0,0.000388,1312.0,3376644.0,1834588.0,0.002743,5033.0,1829555.0,1133731875.0,1121530305.0
a2time01,32,4,32,1.78779,3377212.0,0.000312,1053.0,3376159.0,1834610.0,0.000922,1691.0,1832919.0,876722790.0,872557500.0
a2time01,16,2,32,1.773055,3376595.0,0.000512,1730.0,3374865.0,1834595.0,0.001039,1906.0,1832689.0,909741915.0,895361295.0
a2time01,64,1,32,1.795024,3376723.0,0.00025,845.0,3375878.0,1771463.0,0.000552,977.0,1770486.0,871272435.0,863637255.0
a2time01,16,1,16,1.728997,3376408.0,0.000588,1987.0,3374421.0,1834598.0,0.002133,3914.0,1830684.0,1159220895.0,1140468570.0
a2time01,16,4,32,1.773362,3376610.0,0.00051,1721.0,3374889.0,1834593.0,0.001033,1895.0,1832698.0,910683585.0,889121790.0
a2time01,32,2,32,1.787349,3377179.0,0.000316,1067.0,3376112.0,1834607.0,0.000927,1701.0,1832906.0,875988675.0,873465525.0
a2time01,64,1,8,1.73861,3387379.0,0.000322,1090.0,3386289.0,1772847.0,0.012011,21293.0,1751554.0,910181325.0,909229125.0
a2time01,16,1,8,1.599207,3382930.0,0.000662,2238.0,3380692.0,1833646.0,0.007741,14195.0,1819451.0,2121346620.0,2115211965.0
soplex,16,1,32,0.684302,3495874.0,0.021902,76566.0,3419308.0,2855587.0,0.060439,172588.0,2682999.0,5714330595.0,5551650300.0
soplex,32,2,16,0.820244,3499719.0,0.016406,57416.0,3442303.0,2841447.0,0.054749,155567.0,2685880.0,4624224795.0,4462470000.0
soplex,64,4,32,1.19929,3566883.0,0.000581,2072.0,3564811.0,2824158.0,0.035345,99820.0,2724338.0,2928460155.0,2929348620.0
soplex,64,1,16,0.791523,3498340.0,0.021787,76219.0,3422121.0,2835704.0,0.055348,156950.0,2678754.0,4721508645.0,4698992700.0
soplex,32,1,32,0.885337,3499310.0,0.015132,52953.0,3446357.0,2838865.0,0.05522,156761.0,2682104.0,4257866100.0,4206929760.0
soplex,16,2,16,0.653227,3500974.0,0.020976,73437.0,3427537.0,2854220.0,0.06533,186467.0,2667753.0,5925387360.0,5692115160.0
soplex,64,2,32,1.17241,3563964.0,0.001199,4273.0,3559691.0,2823775.0,0.040201,113518.0,2710257.0,2998888455.0,3005738925.0
soplex,64,2,16,0.966377,3499805.0,0.012956,45342.0,3454463.0,2831511.0,0.044902,127140.0,2704371.0,3748114020.0,3708023805.0
soplex,32,1,8,0.344155,3433185.0,0.07034,241490.0,3191695.0,2844023.0,0.074158,210906.0,2633117.0,12091219620.0,10699913925.0
soplex,32,1,16,0.652396,3492879.0,0.027741,96895.0,3395984.0,2844975.0,0.064134,182459.0,2662516.0,5932256820.0,5792552310.0
soplex,32,4,32,1.120017,3566893.0,0.000892,3181.0,3563712.0,2832579.0,0.044074,124843.0,2707736.0,3258106860.0,3254252265.0
soplex,16,2,32,0.944684,3565241.0,0.002147,7656.0,3557585.0,2848963.0,0.057381,163477.0,2685486.0,4021215045.0,3988379910.0
soplex,64,1,32,1.008023,3501758.0,0.012154,42561.0,3459197.0,2826318.0,0.046529,131506.0,2694812.0,3567342525.0,3590692245.0
soplex,16,1,16,0.493868,3489587.0,0.037358,130365.0,3359222.0,2859031.0,0.071883,205516.0,2653515.0,7965978675.0,7704361215.0
soplex,16,4,32,0.959079,3568048.0,0.001425,5084.0,3562964.0,2849052.0,0.054165,154320.0,2694732.0,3961467585.0,3946118535.0
