benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
sjeng,32,1,8,0.092908,3230189.0,0.000235,759.0,3229430.0,8479170.0,0.961806,8155314.0,323856.0,34686237360.0,34693937265.0
sjeng,32,1,16,0.092454,3230141.0,0.000226,731.0,3229410.0,8479192.0,0.961521,8152922.0,326270.0,35912752575.0,35312904555.0
sjeng,32,4,32,0.09227,3230099.0,0.000208,673.0,3229426.0,8478948.0,0.961202,8149980.0,328968.0,37705118985.0,37702767225.0
sjeng,16,2,32,0.160821,3229302.0,0.000337,1088.0,3228214.0,8479300.0,0.962721,8163204.0,316096.0,28665081375.0,28660280025.0
sjeng,64,1,32,0.163476,3230520.0,0.000136,440.0,3230080.0,8479135.0,0.481101,4079317.0,4399818.0,22086274425.0,22089425250.0
sjeng,16,1,16,0.159253,3229567.0,0.000346,1116.0,3228451.0,8479304.0,0.962928,8164959.0,314345.0,27046685475.0,27051334230.0
sjeng,16,4,32,0.16043,3229322.0,0.000332,1073.0,3228249.0,8479301.0,0.962719,8163186.0,316115.0,28807226280.0,28804461450.0
sjeng,32,2,32,0.09251,3230103.0,0.000212,684.0,3229419.0,8478949.0,0.961207,8150021.0,328928.0,37703483475.0,37698584265.0
sjeng,64,1,8,0.164188,3230556.0,0.00015,486.0,3230070.0,8479130.0,0.481771,4084996.0,4394134.0,20344157415.0,20345396370.0
sjeng,16,1,8,0.160178,3229641.0,0.000355,1147.0,3228494.0,8479290.0,0.963084,8166268.0,313022.0,26490840210.0,26497170105.0
bzip2,16,1,32,0.124686,2632900.0,0.000631,1662.0,2631238.0,8878102.0,0.769365,6830498.0,2047604.0,44542563870.0,44592993885.0
bzip2,32,2,16,0.1847,2633635.0,0.000341,898.0,2632737.0,8630231.0,0.692664,5977848.0,2652383.0,28593696585.0,28563700320.0
bzip2,64,4,32,0.185986,2633987.0,0.000189,498.0,2633489.0,8513906.0,0.476414,4056145.0,4457761.0,24928136175.0,24925083330.0
bzip2,64,1,16,0.177341,2633434.0,0.000351,925.0,2632509.0,8509796.0,0.559775,4763570.0,3746226.0,26125478040.0,26092438350.0
bzip2,32,1,32,0.182114,2633413.0,0.00042,1106.0,2632307.0,8631069.0,0.690808,5962411.0,2668658.0,29370521325.0,29368362330.0
bzip2,16,2,16,0.125668,2633169.0,0.000546,1437.0,2631732.0,8877742.0,0.769544,6831812.0,2045930.0,43435650585.0,43456582125.0
bzip2,64,2,32,0.186457,2633938.0,0.000214,563.0,2633375.0,8513704.0,0.477123,4062085.0,4451619.0,24859620780.0,24840096120.0
bzip2,64,2,16,0.18405,2633808.0,0.000234,615.0,2633193.0,8513496.0,0.47478,4042041.0,4471455.0,24908193510.0,24911876970.0
bzip2,32,1,8,0.174059,2632944.0,0.000583,1536.0,2631408.0,8627208.0,0.746895,6443618.0,2183590.0,30198453210.0,30192391200.0
bzip2,32,1,16,0.177519,2633205.0,0.000474,1247.0,2631958.0,8628369.0,0.726885,6271828.0,2356541.0,29908378275.0,29907925380.0
bzip2,32,4,32,0.185548,2633804.0,0.000302,796.0,2633008.0,8630230.0,0.691699,5969521.0,2660709.0,28848699525.0,28803586845.0
bzip2,16,2,32,0.12579,2633234.0,0.000531,1399.0,2631835.0,8877907.0,0.769576,6832221.0,2045686.0,43961900400.0,44058379695.0
bzip2,64,1,32,0.181589,2633514.0,0.000306,807.0,2632707.0,8512836.0,0.467348,3978456.0,4534380.0,25431051180.0,25455664050.0
bzip2,16,1,16,0.121445,2632670.0,0.000699,1841.0,2630829.0,8874764.0,0.783456,6952987.0,1921777.0,44933356845.0,44911108605.0
bzip2,16,4,32,0.125878,2633342.0,0.00051,1344.0,2631998.0,8878533.0,0.769323,6830458.0,2048075.0,44005223415.0,44035246620.0
bzip2,32,2,32,0.185368,2633797.0,0.000323,850.0,2632947.0,8629935.0,0.692094,5972725.0,2657210.0,28846641030.0,28864792800.0
bzip2,64,1,8,0.17465,2633116.0,0.000456,1200.0,2631916.0,8508758.0,0.601048,5114169.0,3394589.0,26418919545.0,26441986350.0
bzip2,16,1,8,0.119888,2632427.0,0.000816,2149.0,2630278.0,8874072.0,0.791298,7022038.0,1852034.0,45142505775.0,45138374205.0
